filename,width,height,class,xmin,ymin,xmax,ymax
00003503_004_jpg.rf.da1cd0d330892ac57ed2c6cdc076c425.jpg,1024,1024,nodule,307,538,467,720
00003503_004_jpg.rf.da1cd0d330892ac57ed2c6cdc076c425.jpg,1024,1024,nodule,325,287,395,375
00021070_000_jpg.rf.dabf610c8f9c6918a0f9f7bebb8a06cc.jpg,1024,1024,nodule,888,645,940,695
00021070_000_jpg.rf.dabf610c8f9c6918a0f9f7bebb8a06cc.jpg,1024,1024,nodule,304,654,395,727
00019720_000_jpg.rf.d981eac9d0cb3cc8c25df04cefb18384.jpg,1024,1024,nodule,827,695,911,756
00007321_000_jpg.rf.d955694a0edf89b9d036f8143fe209a0.jpg,1024,1024,nodule,750,669,814,748
00025858_002_jpg.rf.db07a6a055687a4ceea998458401cdd2.jpg,1024,1024,nodule,332,212,446,319
00025858_002_jpg.rf.db07a6a055687a4ceea998458401cdd2.jpg,1024,1024,nodule,277,542,351,618
00006436_000_jpg.rf.da81529c2ca8cee18a7c550e00d7be79.jpg,1024,1024,nodule,225,172,260,211
00006436_000_jpg.rf.da81529c2ca8cee18a7c550e00d7be79.jpg,1024,1024,nodule,288,140,337,196
00006436_000_jpg.rf.da81529c2ca8cee18a7c550e00d7be79.jpg,1024,1024,nodule,260,267,305,320
00006436_000_jpg.rf.da81529c2ca8cee18a7c550e00d7be79.jpg,1024,1024,nodule,746,436,790,491
00006436_000_jpg.rf.da81529c2ca8cee18a7c550e00d7be79.jpg,1024,1024,nodule,802,558,846,616
00006436_000_jpg.rf.da81529c2ca8cee18a7c550e00d7be79.jpg,1024,1024,nodule,638,137,699,212
00006436_000_jpg.rf.da81529c2ca8cee18a7c550e00d7be79.jpg,1024,1024,nodule,170,474,232,553
00006436_000_jpg.rf.da81529c2ca8cee18a7c550e00d7be79.jpg,1024,1024,nodule,230,512,298,596
00006436_000_jpg.rf.da81529c2ca8cee18a7c550e00d7be79.jpg,1024,1024,nodule,691,565,757,645
00022231_000_jpg.rf.dbe6e13c4c46931da6e641136712dcd7.jpg,1024,1024,nodule,726,443,777,494
00022231_000_jpg.rf.dbe6e13c4c46931da6e641136712dcd7.jpg,1024,1024,nodule,181,613,238,659
